date,message,views,forwards,replies
2022-09-29 19:41:12+00:00,"От подписчика:
Приветствую! Смотрю у вас уже никто не боится показать себя и я тоже! Мы свободные люди и нам боятся нечего! Я человек сильный занимаюсь садоводством. Пусть хоть одна западная шавка что-то посмеет сделать против нашего митинга! Пусть хоть кто-то что-то скажет против! Я его сразу разнесу сам!!! 

Вот это мощно подходит наш сторонник! Но мы надеемся на мирный митинг!",592.0,1.0,183.0
2022-09-29 19:32:10+00:00,"От подписчика:
Ййооо парни, мы с моим другом сейчас отдыхаем недалеко от Тбилиси. Долгое время думали, куда бы смотаться. А тут оказывается раз и ваш канал, весь этот митинг. Мы обязательно идём оба, тем более мы очень поддерживаем Россию, а особенно её президента Путина. Сразу видно крутой мужик! 

Правильное решение! Выходим в 19:00, площадь Свободы",748.0,6.0,126.0
2022-09-29 19:12:23+00:00,"Оказывается наш подписчик - это давний защитник идей сближения с Россией и русского мира! Здесь он пришёл на день независимости Грузии с повязкой в цвета флага России. Как он сообщил нам лично, данный символ означает то, что у грузинского народа открываются глаза и мы видим прекрасное будущее с Россией! Какой прекрасный человек!",1023.0,14.0,109.0
2022-09-29 18:24:25+00:00,"От подписчика:
Сижу и читаю ваш паблик. Просто счастье 👍🏻 Завтра беру с собой флаг России, Грузии и иду на митинг. Уверен что будет шикарное мероприятия. Всегда поддерживал Россию! 🇷🇺🇷🇺❤🇬🇪🇬🇪

Огромное спасибо! Мы ждём тебя завтра на митинге! Все на площадь Свободы в 19:00 по Тбилиси!",1658.0,40.0,470.0
2022-09-29 17:05:38+00:00,"Уже всем понятно, что наш митинг - это точно главное событие Грузии в этом году. Но перед этим мы все с нетерпением ждём обращение лидера России Владимира Владимировича Путина о вхождение новых регионов в состав братской России. Вот уж событие историческое! Как же мы завидуем каждому россиянину...🇬🇪🇷🇺",2088.0,15.0,2562.0
2022-09-29 15:56:15+00:00,"От подписчицы: 
Смотрю многие только собираются на митинг, а я уже готова как несколько лет)) живу в нашем городе. А вот моя домашняя обстановочка) 

Мощная красавица наша подписчица! А ведь в Грузии таких тысячи и тысячи! Поэтому нужно распространять наш канал по всем чатам и каналам! Все должны знать про завтрашний митинг!",2926.0,8.0,326.0
2022-09-29 15:44:29+00:00,"На Украине нет нацизма?

Чудовищный случай на Украине. Представителей братского еврейского народа не пустили в магазин украинские нацисты во Львове. Неужели кто-то ещё поддерживает Украину у нас в стране?",2532.0,14.0,124.0
2022-09-29 15:33:02+00:00,Пишем в беседах про митинг! Нужно много людей!,2491.0,0.0,238.0
2022-09-29 15:15:25+00:00,"От подписчика:
Привет, друзья. Хотел бы вас немного поправить в вашем высказывании, что мы выходим не только за Россию, но ещё и за Грузию. Тут наоборот мы выходим именно за Грузию, а ещё за Россию. Как бы там Россия сможет без нас, а вот мы без Россию вообще не сможем никак. В любом случае вы мне уже нравитесь и на митинг я всё же схожу. 

Да, конечно можно сказать и так, но мы придерживаемся не только позиции экономической выгоды для своей страны, но ещё и культурной и нравственной близости к России. Да, Россия - это кредиты под 0.001%, самый дешёвый газ и бензин, но ведь Россия - это ещё и великая культура, истинные ценности, которые неразрывно переплетаются с нашими! 
30 сентября, площадь Свободы, 19:00. Мы ждём всех!",2729.0,7.0,199.0
2022-09-29 13:32:27+00:00,"А вообще, так разобраться знаете? Вот эта пометка ""fake"" в нашем случае = знак качества! Это значит, что преступные прозападные режимы ведут активную борьбу с нами. Разве они бы вели её с кем-то плохим?",5126.0,24.0,1248.0
2022-09-29 13:28:42+00:00,"После сегодняшней преступной атаки украинских спецслужб на наш канал, многочисленные попытки сорвать митинг Свободная Грузия выступает за полное прекращение всех экономических и дипломатических связей с Украиной!",4557.0,26.0,147.0
2022-09-29 12:52:51+00:00,"ЕЩЁ РАЗ! Кто не понял! Грузия будет свободной, рано или поздно, будет! Как бы вам этого не хотелось, как бы вы не гадали нам, мелкие шавки! Это исторический процесс и мы выйдем из него победителями. Слава Грузии! Слава России! 🇬🇪🇷🇺",5551.0,22.0,330.0
2022-09-29 12:50:25+00:00,"Эээ, вы там страх потеряли? Какой Fake? 
Мы выйдем на митинг и все узнают, что такое свободная Грузия! Мы покажем свою мощь, какой нет у вас, грузинофобы и русофобы! 🇬🇪🇷🇺",6135.0,28.0,189.0
2022-09-29 09:54:22+00:00,"⚡Депутатам Госдумы России разослано на завтра приглашение в Кремль, где в 15.00 начнётся мероприятие с участием Путина, сообщил депутат Парфенов

Свободная Грузия с нетерпением ждёт обращение президента Российской Федерации! Владимир Владимирович должен призвать все страны мира, к признанию новых границ России. Свободная Грузия уже готова к признанию территории России в границах 2022 года, по результатам референдума! 🇬🇪❤🇷🇺",8107.0,23.0,1228.0
2022-09-29 09:23:16+00:00,"До митинга остался один день! 
Завтра мы требуем:
1. Признать результаты референдума в ДНР, ЛНР, Херсонской и Запорожской области! 
2. Создать законодательную базу, уравнивающую в правах граждан России и Грузии 
3. Установить государственный статус русского языка 
4. Ввести рублёвую зону на территории нашей страны 
5. Начать процедуру отказа от западного влияния на нашу Родину! Отозвать заявки из НАТО и ЕС!",9436.0,252.0,860.0
2022-09-29 07:58:37+00:00,"От подписчика:

Здорова, мужики и девушки. Меня зовут Александр, я русский и приехал в Грузию как и все от мобилизации. Сам я прям подхожу, воевал в Сирии штурмовиком. За долгие дни на войне, меня она утомила на всю жизнь и теперь я здесь морожусь. Даже не ожидали с пацанами, что тут кто-то поддерживает Россию. Сейчас был на рынке в Тбилиси, купил у торговца узбека тельняшку. Надену и пойду на митинг. Счастлив, что грузины за нас.

Спасибо огромное нашему подписчику из России! Ждём завтра на площади Свободы!",9400.0,88.0,810.0
2022-09-29 07:24:00+00:00,"Видео от нашего подписчика:

Решил наглядно показать свою подготовку. В Тбилиси завтра должны быть все! Время и возможность есть у каждого из нас.

Огромное спасибо нашему подписчику! Вот это настоящий грузин, готов потратить последние деньги, ради интересов общества! Берите пример!",8644.0,35.0,246.0
2022-09-29 07:05:21+00:00,"Мы — объединение русских граждан США, которые хотят жить в мирном и многополярном мире. Считаем политику нашей власти ведущей к войне с РФ.

Скоро мы анонсируем масштабные митинги против нацистского режима Байдена. Присоединяйтесь к нам.

-

We are a group of Russian civils in United States of America who want to live in peace and in multipolar world. We are sure that our government’s actions will lead to war with Russia.

Soon we’ll announce protests against Biden’s nazi regime. Join us.",7672.0,33.0,44.0
2022-09-29 07:05:21+00:00,"Русские, грузины, армяне, евреи США! Паблик для вас!",7426.0,9.0,15.0
